Institution,Average net price-students awarded grant or scholarship aid  2020-21,Average net price-students awarded grant or scholarship aid  2019-20,Average net price-students awarded grant or scholarship aid  2018-19,State abbreviation,Sector of institution,Level of institution,Degree-granting status,Institution size category,Institution name,Longitude location of institution,Latitude location of institution,Total price for in-state students living on campus 2021-22,Total price for out-of-state students living on campus 2021-22,Total price for in-state students living off campus (not with family)  2021-22,Total price for out-of-state students living off campus (not with family)  2021-22,Total price for in-state students living off campus (with family)  2021-22,Total price for out-of-state students living off campus (with family)  2021-22,Total price for in-state students living on campus 2020-21,Total price for out-of-state students living on campus 2020-21,Total price for in-state students living off campus (not with family)  2020-21,Total price for out-of-state students living off campus (not with family)  2020-21,Total price for in-state students living off campus (with family)  2020-21,Total price for out-of-state students living off campus (with family)  2020-21,Average net price-students awarded grant or scholarship aid  2017-18,Average net price-students awarded grant or scholarship aid 2016-17,Total price for in-state students living on campus 2019-20,Total price for out-of-state students living on campus 2019-20,Total price for in-state students living off campus (not with family) 2019-20,Total price for out-of-state students living off campus (not with family) 2019-20,Total price for in-state students living off campus (with family) 2019-20,Total price for out-of-state students living off campus (with family) 2019-20,Average net price-students awarded grant or scholarship aid 2015-16,Total price for in-state students living on campus 2018-19,Total price for out-of-state students living on campus 2018-19,Total price for in-state students living off campus (not with family) 2018-19,Total price for out-of-state students living off campus (not with family) 2018-19,Total price for in-state students living off campus (with family) 2018-19,Total price for out-of-state students living off campus (with family) 2018-19,Total price for in-state students living on campus 2017-18,Total price for out-of-state students living on campus 2017-18,Total price for in-state students living off campus (not with family) 2017-18,Total price for out-of-state students living off campus (not with family) 2017-18,Total price for in-state students living off campus (with family) 2017-18,Total price for out-of-state students living off campus (with family) 2017-18,Total price for in-state students living on campus 2016-17,Total price for out-of-state students living on campus 2016-17,Total price for in-state students living off campus (not with family) 2016-17,Total price for out-of-state students living off campus (not with family) 2016-17,Total price for in-state students living off campus (with family) 2016-17,Total price for out-of-state students living off campus (with family) 2016-17,Books and supplies 2021-22,Books and supplies 2020-21,Books and supplies 2019-20,Books and supplies 2018-19,Books and supplies 2017-18,Books and supplies 2016-17,Books and supplies 2015-16,
Dalton State College,5760,5776,6697,GA,1,1,1,2,Dalton State College,-85.002775,34.774221,15238,22144,17722,24628,9316,16222,15106,22012,17722,24628,9316,16222,,,14948,21854,17722,24628,9316,16222,6187,16612,25034,18285,26707,9879,18301,15915,24337,16668,25090,9505,17927,15206,21813,15959,22566,8796,15403,1350,1350,1350,1350,1350,1350,1360,
Danville Area Community College,3615,3411,3986,IL,4,2,1,2,Danville Area Community College,-87.587884,40.127539,,,15753,15753,12153,12153,,,15428,15428,11828,11828,,,,,15428,15428,11828,11828,4464,,,15278,15278,11678,11678,,,14878,14878,13078,13078,,,14603,14603,12803,12803,700,700,700,700,700,700,700,
Danville Community College,7677,8065,7955,VA,4,2,1,2,Danville Community College,-79.408803,36.565286,,,18002,24005,11125,17128,,,18002,24005,11125,17128,,,,,19721,25724,11125,17128,6808,,,19706,25634,11110,17038,,,19594,25522,10998,16926,,,16873,23379,10855,17361,1500,1500,1500,1500,1500,1500,1200,
Davidson College,,,,NC,2,1,1,2,Davidson College,-80.843979,35.499767,73200,73200,,,,,73175,73175,,,,,26565,28339,70744,70744,,,,,,68594,68594,,,,,66678,66678,66678,66678,52449,52449,64698,64698,64698,64698,50876,50876,1000,1000,1000,1000,1000,1000,1000,
Davidson-Davie Community College,6504,7922,6360,NC,4,2,1,2,Davidson-Davie Community College,-80.181868,35.865471,,,19693,24301,7948,12556,,,19952,26096,8474,14618,,,,,19649,25793,8408,14552,6301,,,16514,22658,9088,15232,,,16514,22658,9088,15232,,,16514,22658,9088,15232,1200,1200,1200,1880,1880,1880,1620,
Davis & Elkins College,,,,WV,2,1,1,1,Davis & Elkins College,-79.846022,38.931232,44258,44258,43430,43430,35260,35260,43386,43386,42486,42486,35166,35166,18152,18220,43644,43644,42552,42552,34714,34714,,43064,43064,42242,42242,34568,34568,42396,42396,41432,41432,33886,33886,42750,42750,40855,40855,33734,33734,1380,1356,1324,1296,1274,1250,1223,
Davis College,,,,OH,6,2,1,1,Davis College,-83.532589,41.652922,,,33840,33840,24252,24252,,,31746,31746,22638,22638,26789,24740,,,31062,31062,22350,22350,,,,30748,30748,22866,22866,,,29838,29838,20766,20766,,,32976,32976,20421,20421,3054,2100,2100,1800,1800,1800,1800,
Davis College,,,,NY,2,1,1,1,Davis College,-75.967044,42.106010,26550,26550,26930,26930,22030,22030,26550,26550,26930,26930,22030,22030,16874,15858,28150,28150,26930,26930,22030,22030,,27650,27650,26930,26930,22030,22030,27200,27200,26580,26580,21680,21680,26050,26050,25730,25730,22080,22080,600,600,600,600,600,600,600,
Dawson Community College,10216,10495,9449,MT,4,2,1,1,Dawson Community College,-104.725485,47.085396,18395,21095,17871,20571,10195,12895,18111,20751,17706,20346,10030,12670,,,17711,20291,17556,20136,9880,12460,8657,16725,19245,16250,18770,9700,12220,16725,19245,16250,18770,9700,12220,16245,18825,16070,18650,9520,12100,1200,1200,1200,1200,1200,1200,1200,
Daytona State College,7929,7906,7732,FL,1,1,1,4,Daytona State College,-81.049685,29.203275,,,15630,24518,7230,16118,,,15630,24518,7230,16118,,,,,15630,24518,7230,16118,4364,,,13404,22293,6628,15517,,,13409,22298,6633,15522,,,13412,22301,6636,15525,1800,1800,1800,1800,1200,1200,1200,
De Anza College,8236,7253,6238,CA,4,2,1,4,De Anza College,-122.045783,37.319914,,,27743,36968,8081,17306,,,32501,41186,8806,17491,,,,,24610,32575,8806,16771,6544,,,21505,27445,7843,13783,,,21208,28408,7915,15115,,,20362,27382,7768,14788,1677,1971,1971,1917,1854,1791,1764,
Dean College,,,,MA,2,1,1,2,Dean College,-71.397813,42.085634,62936,62936,54821,54821,45346,45346,61466,61466,53793,53793,44318,44318,31835,31199,60172,60172,52889,52889,43414,43414,,58770,58770,51909,51909,42434,42434,56936,56936,50565,50565,41090,41090,54892,54892,49135,49135,39660,39660,1000,1000,1000,1000,1000,1000,1000,
Del Mar College,5617,5831,5319,TX,1,1,1,4,Del Mar College,-97.407620,27.763619,,,16483,17593,10888,11998,,,16483,17593,10888,11998,,,,,17104,18270,10343,11509,5688,,,15737,17042,10059,11364,,,15684,16646,10006,10968,,,14241,15203,9795,10757,1260,1260,1260,1260,1215,1215,1215,
Delaware College of Art and Design,,,,DE,5,2,1,1,Delaware College of Art and Design,-75.549882,39.741947,48220,48220,46670,46670,34220,34220,46670,46670,47420,47420,34970,34970,35133,30369,46170,46170,47420,47420,34970,34970,,48380,48380,45610,45610,36730,36730,45460,45460,46260,46260,33810,33810,43830,43830,44530,44530,32530,32530,3200,3200,3200,3200,3200,2000,1980,
Delaware County Community College,13178,9647,10472,PA,4,2,1,3,Delaware County Community College,-75.393080,39.966724,,,23900,27740,15400,19240,,,25380,29220,18880,22720,,,,,24480,28320,17980,21820,5825,,,23855,27385,19455,22985,,,24055,27810,17465,21220,,,23520,27150,16880,20510,2500,1950,1750,1750,1750,1750,1700,
Delaware Technical Community College-Terry,8121,7879,8300,DE,1,1,1,4,Delaware Technical Community College-Terry,-75.560120,39.198371,,,18585,25448,10185,17048,,,18585,25448,10185,17048,,,,,18585,25448,10185,17048,7003,,,18650,25378,10250,16978,,,17893,24417,10018,16542,,,17652,23944,9777,16069,1600,1600,1600,1600,1600,1600,1600,
Delgado Community College,7029,8148,9795,LA,4,2,1,4,Delgado Community College,-90.103962,29.985149,,,17591,17591,8802,8802,,,16649,16649,9509,9509,,,,,16949,21238,9075,13364,7990,,,20446,24735,10373,14662,,,18377,22666,9107,13396,,,17526,21815,8737,13026,1200,1300,1600,2000,1244,1200,1200,
Delta College,5492,3573,3866,MI,4,2,1,3,Delta College,-83.985943,43.559491,,,16074,16314,12138,12378,,,15768,20988,11888,17108,,,,,15590,20810,11942,17162,3499,,,14866,19936,11250,16320,,,14312,19142,10880,15710,,,14078,18578,10684,15184,2070,2040,2040,1768,1768,1690,1300,
Denison University,,,,OH,2,1,1,2,Denison University,-82.523272,40.071505,73900,73900,73900,73900,60000,60000,72820,72820,72820,72820,59100,59100,35694,32290,69400,69400,69400,69400,56350,56350,,66870,66870,66870,66870,54160,54160,64970,64970,64970,64970,52640,52640,63130,63130,63130,63130,51160,51160,1000,1000,1000,1000,1000,1000,650,
Denmark Technical College,14597,11966,13639,SC,4,2,1,1,Denmark Technical College,-81.123629,33.313355,21506,27132,21506,27132,13982,19608,21188,26595,21188,26595,13664,19071,,,19817,25225,19817,25225,13463,18871,6816,18020,23349,18020,23349,11518,16847,17824,21574,17824,21574,11650,15400,14344,17684,14344,17684,10406,13746,1500,1500,1500,1500,1500,1500,1500,
DePauw University,,,,IN,2,1,1,2,DePauw University,-86.860363,39.640904,70394,70394,67196,67196,57196,57196,68898,68898,66010,66010,56010,56010,29262,29318,66946,66946,64446,64446,54446,54446,,64924,64924,61804,61804,52804,52804,62567,62567,59938,59938,50938,50938,60888,60888,58548,58548,49548,49548,1200,1200,1200,1000,1000,1000,900,
Des Moines Area Community College,9667,9296,9481,IA,4,2,1,5,Des Moines Area Community College,-93.611597,41.707348,15648,20868,17740,22960,9928,15148,14900,20000,17650,22750,9904,15004,,,14578,19378,17070,21870,9696,14496,10385,14992,19672,16740,21420,9796,14476,14858,19388,15980,20510,9922,14452,17311,21721,15876,20286,10128,14538,810,870,904,1322,1340,1526,1470,
Diablo Valley College,8878,8369,7311,CA,4,2,1,4,Diablo Valley College,-122.073142,37.968516,,,26782,34482,7180,14880,,,26782,33798,7180,14196,,,,,23642,30894,7982,15234,7055,,,21260,28512,7480,14732,,,20700,27812,7540,14652,,,19750,26386,7386,14022,1080,1080,1972,1918,1854,1792,1764,
Dillard University,,,,LA,2,1,1,2,Dillard University,-90.064640,29.996587,35310,35310,35539,35539,25744,25744,35151,35151,35367,35367,25711,25711,17590,17222,35029,35029,35367,35367,25711,25711,,33684,33684,33014,33014,22572,22572,33875,33875,32429,32429,23175,23175,32076,32076,31275,31275,22203,22203,1300,1300,1300,1300,1300,1220,1220,
Dine College,10923,10604,10954,AZ,1,1,1,2,Dine College,-109.216840,36.293328,12700,12700,14680,14680,10070,10070,12700,12700,14680,14680,10070,10070,,,12700,12700,14680,14680,10070,10070,10065,12000,12000,14680,14680,10070,10070,12000,12000,14680,14680,10070,10070,12015,12015,13995,13995,10635,10635,1400,1400,1400,1400,1400,1400,1400,
Divine Word College,,,,IA,2,1,1,1,Divine Word College,-90.934578,42.441721,21500,21500,21500,21500,17300,17300,20980,20980,20980,20980,16880,16880,10364,6451,20540,20540,20440,20440,16540,16540,,20110,20110,20110,20110,16110,16110,19630,19630,19330,19330,15730,15730,19199,19199,18980,18980,15480,15480,300,300,300,250,180,180,150,
Dodge City Community College,6821,7248,4967,KS,4,2,1,2,Dodge City Community College,-100.037481,37.776891,16766,17126,18566,18926,9566,9926,16086,16446,18086,18446,9086,9446,,,15226,15586,17426,17786,8426,8786,7078,14798,15158,15808,16168,7798,8158,14388,14628,15808,16048,7798,8038,14138,14378,15748,15988,7738,7978,1600,1600,1600,1200,1200,1200,1200,
Donnelly College,,,,KS,2,1,1,1,Donnelly College,-94.650677,39.112256,,,28126,28126,17526,17526,,,27520,27520,16920,16920,12029,8059,,,26760,26760,16560,16560,,,,25880,25880,16080,16080,,,24150,24150,14700,14700,18682,18682,22162,22162,11162,11162,960,960,960,960,960,960,830,
Dorsey College,,,,MI,6,2,1,1,Dorsey College,-83.107631,42.525318,,,46809,46809,36696,36696,,,46290,46290,35895,35895,25005,26852,,,37714,37714,25762,25762,,,,35901,35901,24300,24300,,,35601,35601,24000,24000,,,35001,35001,23400,23400,0,0,0,0,0,,,
Douglas Education Center,,,,PA,6,2,1,1,Douglas Education Center,-79.888461,40.161519,,,33360,33360,25410,25410,,,32670,32670,24750,24750,23227,24918,,,33942,33942,26022,26022,,,,34485,34485,26565,26565,,,31169,31169,23249,23249,,,32944,32944,25024,25024,3380,3070,3852,3655,3290,3377,4232,
Drury University-College of Continuing Professional Studies,,,,MO,2,1,1,1,Drury University-College of Continuing Professional Studies,-93.286693,37.218523,24454,24454,24454,24454,12324,12324,24454,24454,24454,24454,12324,12324,14847,13967,23768,23768,23768,23768,11638,11638,,22777,22777,22777,22777,10647,10647,,,,,,,,,,,,,1200,1200,1200,1200,1200,1200,1200,
Dunwoody College of Technology,,,,MN,2,1,1,2,Dunwoody College of Technology,-93.290608,44.972810,38149,38149,38149,38149,27631,27631,37418,37418,37418,37418,26900,26900,21797,19132,37428,37428,37428,37428,26160,26160,,36288,36288,34474,34474,25224,25224,,,32508,32508,24858,24858,,,31139,31139,23689,23689,768,778,791,928,998,1011,1500,
Durham Technical Community College,4844,5867,8245,NC,4,2,1,2,Durham Technical Community College,-78.881700,35.974768,,,19050,23658,8178,12786,,,19050,23658,8178,12786,,,,,19050,23658,8178,12786,8031,,,19050,23658,8178,12786,,,19050,23658,8178,12786,,,18932,23480,8060,12608,1300,1300,1300,1300,1300,1300,1300,
Dutchess Community College,9152,7818,7486,NY,4,2,1,3,Dutchess Community College,-73.904652,41.724245,21604,26054,21604,26054,9629,14079,22138,26488,21081,25431,9456,13806,,,20565,24715,20565,24715,9165,13315,7453,20122,23986,19754,23618,9004,12868,19586,23282,19586,23282,8836,12532,19084,22612,18084,21612,8584,12112,1450,1450,1450,1400,1400,1350,1350,
Dyersburg State Community College,5447,5890,6574,TN,4,2,1,2,Dyersburg State Community College,-89.390791,36.047565,,,17850,30666,9360,22176,,,17486,30062,9243,21819,,,,,17486,30062,9243,21819,6018,,,17120,29408,9095,21383,,,17156,29732,9191,21767,,,16919,29165,9089,21335,1200,1200,1200,1200,1200,1200,1200,
East Arkansas Community College,7295,6873,6630,AR,4,2,1,2,East Arkansas Community College,-90.767726,35.041655,,,17340,17940,10090,10690,,,17445,18024,10195,10774,,,,,16935,17514,9685,10264,4618,,,16316,16856,9066,9606,,,15700,16210,8450,8960,,,13350,13860,8450,8960,2200,2200,2200,2200,2200,2200,2000,
East Central College,7057,7601,7524,MO,4,2,1,2,East Central College,-90.978090,38.431845,,,20322,22098,12530,14306,,,19442,21218,12334,14110,,,,,22948,24652,12318,14022,7873,,,22252,23668,11622,13038,,,22252,23668,11622,13038,,,21987,23355,11358,12726,1500,1500,1500,1500,1500,1500,1500,
East Central Community College,5898,4923,5551,MS,4,2,1,2,East Central Community College,-89.113706,32.441164,12324,14424,14570,16670,8430,10530,12324,14424,14570,16670,8430,10530,,,12060,14160,14370,16470,8230,10330,5268,11500,13600,12930,15030,7670,9770,11220,13320,12850,14950,7590,9690,10580,12680,12350,14450,7090,9190,1480,1480,1480,1280,1280,1280,1280,
East Georgia State College,9190,9229,8488,GA,1,1,1,2,East Georgia State College,-82.309021,32.594944,18605,24957,15710,22062,8794,15146,18411,24763,15650,22002,8747,15099,,,17324,23676,15014,21366,7540,13892,4581,16478,22675,15514,21711,7394,13591,15915,22112,15348,21545,7310,13507,15790,21865,15305,21380,7267,13342,1440,1440,1258,1224,1200,1200,1200,
East Los Angeles College,12028,12522,11015,CA,4,2,1,5,East Los Angeles College,-118.148785,34.040531,,,24377,32151,6638,14412,,,23540,30872,6481,13813,,,,,23549,30439,7889,14779,9024,,,21164,27690,7502,14028,,,20606,26402,7448,13244,,,19661,25979,7169,13487,1125,1080,1971,1917,1854,1791,1764,
East Mississippi Community College,7966,6798,6951,MS,4,2,1,2,East Mississippi Community College,-88.483516,32.830246,13375,16375,15461,18461,8765,11765,13375,16375,15461,18461,8765,11765,,,13055,16055,15261,18261,8565,11565,5626,12855,15855,15161,18161,8465,11465,12555,15555,14961,17961,8265,11265,12055,14455,14561,16961,7865,10265,1200,1200,1200,1200,1200,1200,1200,
East Ohio College,,,,OH,6,2,1,1,East Ohio College,-80.572063,40.679600,,,24311,24311,17791,17791,,,24500,24500,18063,18063,14554,12152,,,22815,22815,16478,16478,,,,23178,23178,17336,17336,,,22921,22921,17079,17079,,,21957,21957,15535,15535,513,295,290,270,253,214,214,
East-West University,,,,IL,2,1,1,1,East-West University,-87.624793,41.871309,,,34971,34971,25500,25500,,,36900,36900,25800,25800,17436,25996,,,36900,36900,25800,25800,,,,35175,35175,25200,25200,,,40100,40100,25450,25450,,,38970,38970,24795,24795,900,900,900,900,1800,2400,2000,
Eastern Arizona College,10755,9498,6299,AZ,4,2,1,2,Eastern Arizona College,-109.762340,32.843664,16026,22986,21000,27960,8058,15018,15235,21655,21280,27700,8516,14936,,,15173,21593,16873,23293,7338,13758,8000,14795,23495,14795,23495,8005,16705,14450,23150,14135,22835,7855,16555,13985,20945,13985,20945,7700,14660,1006,992,992,850,850,850,850,
Eastern Florida State College,4775,3445,3512,FL,1,1,1,4,Eastern Florida State College,-80.756474,28.383610,16980,24223,15064,22307,7686,14929,18746,25989,14606,21849,7542,14785,,,,,14474,21717,7506,14749,5344,,,14474,21717,7506,14749,,,14416,21659,8186,15429,,,14416,21659,8186,15429,1600,1600,1600,1600,1600,1600,1200,
Eastern Gateway Community College,2270,2112,3528,OH,4,2,1,5,Eastern Gateway Community College,-80.672337,40.376056,,,9510,13122,7210,10822,,,9126,12905,6826,10605,,,,,9295,12535,6995,10235,3125,,,9340,12288,7040,9988,,,8745,11985,6445,9685,,,8705,9545,6405,7245,1000,1000,1000,1000,1000,1000,1000,
Eastern International College-Belleville,,,,NJ,3,1,1,1,Eastern International College-Belleville,-74.152439,40.789635,,,38855,38855,21117,21117,,,32513,32513,19262,19262,18012,17378,,,35125,35125,25475,25475,,,,34844,34844,25400,25400,,,33376,33376,25185,25185,,,32575,32575,24725,24725,700,900,1200,1200,1200,1200,1200,
Eastern International College-Jersey City,,,,NJ,3,1,1,1,Eastern International College-Jersey City,-74.060452,40.735178,,,34896,34896,22696,22696,,,30614,30614,19994,19994,19982,18932,,,37475,37475,25550,25550,,,,36908,36908,25400,25400,,,33376,33376,25185,25185,,,32575,32575,24725,24725,1000,900,1200,1200,1200,1200,1200,
Eastern Iowa Community College District,8743,9278,9996,IA,4,2,1,3,Eastern Iowa Community College District,-90.574459,41.522179,16390,17998,19540,21148,9892,11500,17658,19802,20754,22898,11178,13322,,,17470,19614,21196,23340,11008,13152,9373,17114,19258,20784,22928,10598,12742,16548,18692,19466,21610,9800,11944,16104,18446,18880,21222,9402,11744,1600,1600,1600,1600,1600,1600,1600,
Eastern Maine Community College,10843,10634,10228,ME,4,2,1,2,Eastern Maine Community College,-68.744450,44.826048,18969,21849,17163,20043,10835,13715,18981,21861,17175,20055,10847,13727,,,18166,20986,17116,19936,10788,13608,9055,18391,21211,17038,19858,10710,13530,18089,20849,17006,19766,10678,13438,17618,20378,17618,20378,9488,12248,1400,1400,1400,1400,1400,1000,1000,
Eastern New Mexico University Ruidoso Branch Community College,7633,8660,6618,NM,4,2,1,1,Eastern New Mexico University Ruidoso Branch Community College,-105.677273,33.346376,,,14750,15590,7252,8092,,,14750,15590,7252,8092,,,,,14654,15446,7156,7948,8311,,,14526,15206,7028,7708,,,14486,17078,6988,9580,,,14683,17155,6916,9388,950,950,950,950,950,950,950,
Eastern New Mexico University-Roswell Campus,5463,5769,5690,NM,4,2,1,2,Eastern New Mexico University-Roswell Campus,-104.525718,33.313167,,,14892,18084,8350,11542,,,14892,18084,8350,11542,,,12925,16117,14892,18084,8350,11542,6301,13158,16350,14892,18084,8350,11542,,,14892,18084,8350,11542,14972,17804,14074,16906,7532,10364,1548,1548,1548,1548,1548,1066,1066,
Eastern Oklahoma State College,5579,6007,5770,OK,4,2,1,2,Eastern Oklahoma State College,-95.328995,34.914079,14284,17901,15767,19384,10067,13684,13884,17501,14267,17884,9017,12634,,,13989,17606,14670,18287,8853,12470,13771,13877,17494,14670,18287,8853,12470,14289,17906,14664,18281,9033,12650,13941,17557,14316,17932,8685,12301,1700,1400,1500,1500,1680,1680,2838,
Eastern Shore Community College,7302,4736,6117,VA,4,2,1,1,Eastern Shore Community College,-75.751129,37.639652,,,15912,21915,10300,16303,,,15912,21915,10300,16303,,,,,15912,21915,10300,16303,5609,,,15912,21840,10300,16228,,,15800,21728,10188,16116,,,15668,21566,10038,15936,1100,1100,1100,1100,1100,1100,1100,
Eastern West Virginia Community and Technical College,6021,6090,3852,WV,4,2,1,1,Eastern West Virginia Community and Technical College,-78.932546,39.075562,,,16863,21615,8883,13635,,,16049,20801,8755,13507,,,,,15303,18687,8278,11662,4129,,,14523,17907,8109,11493,,,14613,17997,8109,11493,,,14478,17934,7927,11383,1468,1448,1415,1386,1372,1357,1200,
Eastern Wyoming College,5554,6334,5845,WY,4,2,1,2,Eastern Wyoming College,-104.190823,42.079354,15534,21834,16152,22452,8640,14940,15379,21319,15872,21812,8610,14550,,,15458,21398,15822,21762,8610,14550,5607,14232,18744,14374,18886,7228,11740,14010,18522,14160,18672,7228,11740,14108,18380,14650,18922,6908,11180,1350,1500,1500,1500,1500,1300,1300,
Eastwick College-Hackensack,,,,NJ,6,2,1,1,Eastwick College-Hackensack,-74.040491,40.885847,,,43521,43521,22191,22191,,,42816,42816,21486,21486,27172,22533,,,40866,40866,19536,19536,,,,41281,41281,19951,19951,,,42051,42051,19951,19951,,,42408,42408,20308,20308,1167,1089,1654,1519,1519,1280,1300,
Eastwick College-Nutley,,,,NJ,6,2,1,1,Eastwick College-Nutley,-74.144192,40.810742,,,28122,28122,20202,20202,,,28537,28537,20617,20617,18232,21226,,,28199,28199,20279,20279,,,,28824,28824,20904,20904,,,28824,28824,20904,20904,,,28265,28265,20345,20345,1023,959,1122,1747,1747,1674,1272,
Eastwick College-Ramsey,,,,NJ,3,1,1,1,Eastwick College-Ramsey,-74.131486,41.057866,,,40346,40346,23552,23552,,,39977,39977,23183,23183,19239,25161,,,39243,39243,22449,22449,,,,39254,39254,22460,22460,,,39951,39951,23157,23157,,,40673,40673,23876,23876,1076,991,1149,1269,1595,1284,1276,
Eckerd College,,,,FL,2,1,1,2,Eckerd College,-82.687043,27.715798,65636,65636,65636,65636,52084,52084,65636,65636,65636,65636,52084,52084,34461,33918,63572,63572,63572,63572,50476,50476,,61576,61576,61576,61576,48920,48920,59200,59200,59200,59200,47424,47424,57162,57162,57162,57162,45566,45566,1350,1350,1350,1350,1350,1200,1200,
Edgecombe Community College,6504,3915,4723,NC,4,2,1,2,Edgecombe Community College,-77.571786,35.879867,,,17787,23931,7920,14064,,,17787,23931,7920,14064,,,,,13075,19219,6105,12249,7257,,,13075,19219,6105,12249,,,12957,19101,5987,12131,,,12939,19083,5969,12113,2250,2250,1500,1500,1500,1500,1000,
Edison State Community College,10978,9742,8197,OH,4,2,1,2,Edison State Community College,-84.212385,40.157699,,,19268,22756,9206,12694,,,24746,28946,10186,14386,,,,,19485,23544,10010,14069,7837,,,17108,21018,8758,12668,,,16629,20238,8279,11888,,,16629,20238,8279,11888,1680,1776,1776,2080,1776,2080,2080,
Edmonds College,9572,8554,8426,WA,1,1,1,3,Edmonds College,-122.327598,47.816376,18438,23975,20199,25736,8424,13961,18135,23526,19869,25260,8253,13644,,,17607,22959,19287,24639,8037,13389,9267,17666,23036,18956,24326,8036,13406,16752,22107,18372,23727,7632,12987,16531,22241,18132,23842,7992,13702,942,930,900,870,840,825,1050,
El Camino Community College District,13296,13111,11719,CA,4,2,1,4,El Camino Community College District,-118.329913,33.885229,,,25294,32158,7555,14419,,,24349,30805,7294,13750,,,,,23494,29230,7834,13570,10569,,,21091,26467,7312,12688,,,20562,25266,7269,11973,,,19574,24110,7082,11618,2136,1992,1992,1920,1848,1792,1764,
El Paso Community College,3982,3960,4673,TX,4,2,1,5,El Paso Community College,-106.373616,31.773359,,,19022,21062,10079,12119,,,18947,20987,10047,12087,,,,,18430,20278,9674,11522,3911,,,17989,19837,9483,11331,,,16401,18177,8045,9821,,,16252,18028,7992,9768,1134,1129,1111,1079,1060,1049,1047,
Elgin Community College,4140,4159,4565,IL,4,2,1,3,Elgin Community College,-88.321940,42.018066,,,17190,19566,11565,13941,,,17190,19566,11565,13941,,,,,20265,21784,14865,16384,4552,,,21390,22609,15390,16609,,,21102,22614,15102,16614,,,21089,22609,15089,16609,1500,1500,1500,1500,1500,1500,1500,
Elim Bible Institute and College,,,,NY,2,1,1,1,Elim Bible Institute and College,-77.615151,42.909692,18980,18980,19310,19310,12310,12310,18980,18980,19310,19310,12310,12310,9511,9906,19016,19016,19910,19910,12785,12785,,18334,18334,19164,19164,11984,11984,15792,15792,17122,17122,9942,9942,14268,14268,15968,15968,9968,9968,1250,600,600,600,450,1100,500,
Elizabethtown Community and Technical College,7301,7082,7301,KY,4,2,1,3,Elizabethtown Community and Technical College,-85.879927,37.692858,,,16142,26894,8634,19386,,,15584,26336,8434,19186,,,,,15193,25633,8218,18658,7499,,,15073,25225,8098,18250,,,14905,24625,7930,17650,,,14762,24122,7786,17146,1078,1026,1000,1000,1000,1000,1000,
Ellsworth Community College,10623,10983,11393,IA,4,2,1,1,Ellsworth Community College,-93.265853,42.527524,18540,19548,18540,19548,11040,12048,18268,19204,18268,19204,10968,11904,,,17996,18932,17996,18932,10796,11732,10496,17876,18812,17876,18812,10676,11612,17206,18142,17256,18192,10456,11392,17086,17974,17086,17974,10336,11224,1300,1300,1200,1200,1100,1100,1100,
Elyon College,,,,NY,5,2,1,1,Elyon College,-73.980593,40.611081,,,34892,34892,24036,24036,,,33604,33604,23420,23420,13174,,,,32668,32668,22764,22764,,,,32032,32032,22328,22328,,,30652,30652,21412,21412,,,,,,,,,,,,,,
Emmanuel College,,,,GA,2,1,1,1,Emmanuel College,-83.148220,34.283641,34256,34256,32736,32736,26336,26336,33400,33400,34920,34920,25920,25920,17672,16337,32712,32712,34412,34412,25412,25412,,31592,31592,33792,33792,24992,24992,30910,30910,33310,33310,24410,24410,29230,29230,31430,31430,22530,22530,1200,1200,1200,1200,1200,1200,1200,
Emmaus Bible College,,,,IA,2,1,1,1,Emmaus Bible College,-90.706011,42.508307,30770,30770,26480,26480,21530,21530,30350,30350,26180,26180,21230,21230,16005,13021,29950,29950,25880,25880,20930,20930,,29150,29150,25330,25330,20380,20380,27870,27870,24450,24450,19500,19500,26155,26155,23735,23735,18785,18785,600,600,600,600,600,600,600,
Emory University-Oxford College,,,,GA,5,2,1,2,Emory University-Oxford College,-83.871141,33.619100,75594,75594,75594,75594,59292,59292,72884,72884,72884,72884,57642,57642,27770,26490,72604,72604,72604,72604,57632,57632,,68470,68470,68470,68470,54996,54996,64708,64708,64708,64708,52166,52166,58900,58900,58900,58900,46894,46894,1250,1224,1224,1224,1224,1224,1224,
Ensign College,,,,UT,2,1,1,2,Ensign College,-111.900200,40.771130,,,14340,14340,8004,8004,,,12640,12640,6440,6440,8198,8481,,,13746,13746,6703,6703,,,,13846,13846,6732,6732,,,12248,12248,6944,6944,,,12412,12412,6942,6942,200,200,350,350,350,350,650,
Enterprise State Community College,3064,4401,3521,AL,4,2,1,2,Enterprise State Community College,-85.836956,31.297496,,,13906,17596,8506,12196,,,14006,17996,8606,12596,,,,,14096,18026,8696,12626,4323,,,14036,17906,8636,12506,,,13536,17106,8136,11706,,,13476,16986,8076,11586,950,950,1200,1200,1000,1000,1000,
Erie Community College,5271,4118,4290,NY,4,2,1,3,Erie Community College,-78.872679,42.881771,,,15333,20380,8833,13880,,,15333,20380,8833,13880,,,21186,25752,15186,19752,8686,13252,4561,21186,25752,15186,19752,8686,13252,,,15186,19752,8686,13252,,,15000,19733,8500,13233,1100,1100,1100,1100,1100,1100,1300,
